el arroz ; le riz
el hueveo ; l'oeuf
el pescado ; le poisson
la fresa ; la fraise
el hombre ; l'homme
la mujer, las mujeres ; la femme, les femmes
el pollo ; le poulet
un niño, una niña ; un garçon, une fille
la manzana ; la pomme
la palabra ; le mot
los diarios ; les journaux
el libro ; le livre
los llaves ; les clés
son ; ils sont
el queso ; le fromage
el león ; le lion
por favor ; s'il vous plaît
la torguga ; la torture
van a la biblioteca ; ils vont à la bibliothèque
sino ; sinon
el perro ; le chien
la gata, el gato ; la chatte, le chat
el almuerzo ; le déjeuner
hacia la peurta ; vers la porte 
el pato ; le canard
al ; au 
el caballo ; le cheval
contra ; contre
durante ; pendant?
el pan ; le pain
el azúcar ; le sucre
