 le riz ; el arroz 
 l'oeuf ; el hueveo 
 le poisson ; el pescado 
 la fraise ; la fresa 
 l'homme ; el hombre 
 la femme, les femmes ; la mujer, las mujeres 
 le poulet ; el pollo 
 un garçon, une fille ; un niño, una niña 
 la pomme ; la manzana 
 le mot ; la palabra 
 les journaux ; los diarios 
 le livre ; el libro 
 les clés ; los llaves 
 ils sont ; son 
 le fromage ; el queso 
 le lion ; el león 
 s'il vous plaît ; por favor 
 la torture ; la torguga 
 ils vont à la bibliothèque ; van a la biblioteca 
 sinon ; sino 
 le chien ; el perro 
 la chatte, le chat ; la gata, el gato 
 le déjeuner ; el almuerzo 
 vers la porte  ; hacia la peurta 
 le canard ; el pato 
 au  ; al 
 le cheval ; el caballo 
 contre ; contra 
 pendant? ; durante 
 le pain ; el pan 
 le sucre ; el azúcar 
