 the circle ; le cercle 
 the isolation, an isolation ; l'isolement, un isolement 
 the favor ; le service 
 to demand, require, expect ; exiger 
 to bother, embarrass ; gêner 
 pass the time doing something ; passer son temps à faire quelque chose 
 to specify, to define ; préciser 
 to behave ; se comporter 
 to make friends ; se faire des amis 
 I feel you are hiding something from me ; je me sens que tu me caches quelque chose 
 to help one another ; s'entraider 
 we help one another ; nous nous entraidons 
 to complain ; se plaindre 
 to feel sick ; se sentir malade 
 suffocated ; suffoqué, soffoquée 
 to take care of ; soigner 
 to click, feel compatible ; sympathiser 
 warm, friendly ; chaleureux, chaleureuse 
 durable ; coincé, coince 
 demanding ; exigeant, exigeante 
 frankly ; franchement 
 cold ; froid, froide 
 indifferent ; indifférent, indifférente 
 insensitive ; insensible 
 sensitive ; sensible 
 open ; ouvert, ouverte 
 deep ; profond, profonde 
 reserved ; réservé, réservée 
 honsestly ; sincèrement 
 stifling ; suffocant, suffocante 
